Unnamed: 0,timestamp_utc,value
12766,2023-05-13 22:30:00+00:00,0.1244
12767,2023-05-13 22:45:00+00:00,0.1132
12768,2023-05-13 23:00:00+00:00,0.10226
12769,2023-05-13 23:15:00+00:00,0.10199
12770,2023-05-13 23:30:00+00:00,0.11318
12771,2023-05-13 23:45:00+00:00,0.139
12772,2023-05-14 00:00:00+00:00,0.1381
12773,2023-05-14 00:15:00+00:00,0.1187
12774,2023-05-14 00:30:00+00:00,0.12999
12775,2023-05-14 00:45:00+00:00,0.13282
12776,2023-05-14 01:00:00+00:00,0.111
12777,2023-05-14 01:15:00+00:00,0.09595
12778,2023-05-14 01:30:00+00:00,0.08202
12779,2023-05-14 01:45:00+00:00,0.0908799999999999
12780,2023-05-14 02:00:00+00:00,0.06643
12781,2023-05-14 02:15:00+00:00,0.0665999999999999
12782,2023-05-14 02:30:00+00:00,0.05755
12783,2023-05-14 02:45:00+00:00,0.066
12784,2023-05-14 03:00:00+00:00,0.0585
12785,2023-05-14 03:15:00+00:00,0.046
12786,2023-05-14 03:30:00+00:00,0.1050799999999999
12787,2023-05-14 03:45:00+00:00,0.09498
12788,2023-05-14 04:00:00+00:00,0.0687
12789,2023-05-14 04:15:00+00:00,0.066
12790,2023-05-14 04:30:00+00:00,0.07
12791,2023-05-14 04:45:00+00:00,0.05
12792,2023-05-14 05:00:00+00:00,0.0005
12793,2023-05-14 05:15:00+00:00,0.103
12794,2023-05-14 05:30:00+00:00,0.11971
12795,2023-05-14 05:45:00+00:00,0.11069
12796,2023-05-14 06:00:00+00:00,0.121
12797,2023-05-14 06:15:00+00:00,0.19846
12798,2023-05-14 06:30:00+00:00,0.1545
12799,2023-05-14 06:45:00+00:00,0.09747
12800,2023-05-14 07:00:00+00:00,0.07316
12801,2023-05-14 07:15:00+00:00,0.075
12802,2023-05-14 07:30:00+00:00,0.09
12803,2023-05-14 07:45:00+00:00,0.05
12804,2023-05-14 08:00:00+00:00,0.0931599999999999
12805,2023-05-14 08:15:00+00:00,0.0235
12806,2023-05-14 08:30:00+00:00,0.01
12807,2023-05-14 08:45:00+00:00,0.032
12808,2023-05-14 09:00:00+00:00,-0.029
12809,2023-05-14 09:15:00+00:00,0.0199699999999999
12810,2023-05-14 09:30:00+00:00,0.03
12811,2023-05-14 09:45:00+00:00,0.05011
12812,2023-05-14 10:00:00+00:00,0.0495
12813,2023-05-14 10:15:00+00:00,0.1415
12814,2023-05-14 10:30:00+00:00,0.125
12815,2023-05-14 10:45:00+00:00,0.1469
12816,2023-05-14 11:00:00+00:00,0.20291
12817,2023-05-14 11:15:00+00:00,0.152
12818,2023-05-14 11:30:00+00:00,0.04
12819,2023-05-14 11:45:00+00:00,0.10067
12820,2023-05-14 12:00:00+00:00,0.14
12821,2023-05-14 12:15:00+00:00,0.11989
12822,2023-05-14 12:30:00+00:00,0.02999
12823,2023-05-14 12:45:00+00:00,-0.0034
12824,2023-05-14 13:00:00+00:00,-0.025
12825,2023-05-14 13:15:00+00:00,-0.01491
12826,2023-05-14 13:30:00+00:00,0.01
12827,2023-05-14 13:45:00+00:00,0.005
12828,2023-05-14 14:00:00+00:00,-0.041
12829,2023-05-14 14:15:00+00:00,-0.026
12830,2023-05-14 14:30:00+00:00,0.0077199999999999
12831,2023-05-14 14:45:00+00:00,0.04229
12832,2023-05-14 15:00:00+00:00,0.0095
12833,2023-05-14 15:15:00+00:00,-0.009
12834,2023-05-14 15:30:00+00:00,-0.015
12835,2023-05-14 15:45:00+00:00,0.025
12836,2023-05-14 16:00:00+00:00,0.0141999999999999
12837,2023-05-14 16:15:00+00:00,0.07776
